Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
1995,9,14,14,4,31.4,2251,,"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY",16.779,-98.597,23,7.4,,3,1,,,100,2,,2,,,,,3,1,,,100,2,,2,,,,
1995,10,6,5,23,18.5,,,ALASKA:  FAIRBANKS NORTH STAR COUNTY,65.17,-148.565,9,6,,,,,,,,,1,,,,,,,,,,,,1,,,,
1995,10,9,15,35,53.9,2252,,"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",19.055,-104.205,33,8,,49,2,,,200,3,,2,,2,,,50,1,,,200,3,,2,,2,,
1996,2,25,3,8,15.8,2262,,MEXICO:  OFF COAST OF GUERRERO,15.978,-98.07,21,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
1996,6,10,4,3,35.4,2263,,ALASKA:  ANDREANOF ISLANDS,51.564,-177.632,33,7.9,6,,,,,,,,,,,,,,,,,,,,,,,,
1996,6,10,15,24,56,2264,,ALASKA:  ANDREANOF ISLANDS,51.478,-176.847,24,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1,11,20,28,26,,,"MEXICO:  MICHOACAN, ARTEAGA",18.219,-102.756,33,7.2,,1,1,,,,,,2,,,,,1,1,,,,,,2,,,,
1998,2,3,3,2,0.2,,,"MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO",15.883,-96.298,33,6.3,,,,,,,,,2,,,,,,,,,,,,2,,,,
1999,6,15,20,42,5.9,,,"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",18.386,-97.436,70,7,,20,1,,,200,3,226.8,4,,,2000,4,20,1,,,200,3,226.8,4,,,2000,4
1999,6,21,17,43,4.5,,,MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO,18.324,-101.539,69,6.3,,,,,,,,,3,,,1300,4,,,,,,,,3,,,1300,4
1999,9,30,16,31,15.6,,,MEXICO:  OAXACA,16.059,-96.931,61,7.5,8,35,1,,,215,3,164.8,4,,,2000,4,35,1,,,215,3,164.8,4,,,2000,4
1999,10,16,9,46,44.1,,,"CALIFORNIA:  LUDLOW, LANDERS, TWENTYNINE PALMS",34.594,-116.271,,7.2,7,,,,,4,1,,1,,,,,,,,,4,1,,1,,,,
2000,9,3,8,36,30,,,CALIFORNIA:  NAPA,38.379,-122.413,10,5,7,,,,,41,1,50,4,,,,,,,,,41,1,50,4,,,,
2001,2,28,18,54,32.8,,,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,52,6.8,8,1,1,,,400,3,2000,4,,,,,1,1,,,400,3,2000,4,,,,
2001,9,9,23,59,18,,,CALIFORNIA:  LOS ANGELES,34.059,-118.387,5,4.2,6,,,,,,,,1,,,,,,,,,,,,1,,,,
2001,10,12,5,2,34,5609,,CANADA:  QUEEN CHARLOTTE ISLANDS,52.63,-132.2,20,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1,30,8,42,3.4,,,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,109,5.9,,,,,,,,,1,,,,2,,,,,,,,1,,,,2
2002,2,22,19,32,41.7,,,"MEXICO:  MEXICALI, BAJA CALIFORNIA",32.319,-115.322,7,5.5,,,,,,,,,1,,,,,,,,,,,,1,,,,
2002,4,20,10,50,47.5,,,"NEW YORK:  CLINTON, ESSEX, AU SABLE FORKS",44.513,-73.699,11,5.2,7,,,,,,,,1,,,,,,,,,,,,1,,,,
2002,9,25,18,14,48.5,,,MEXICO:  ACAPULCO,16.87,-100.113,6,5.3,,,,,,2,1,,1,,,,2,,,,,2,1,,1,,,,2
2002,10,23,11,27,19.4,,,"ALASKA:  CANTWELL, DENALI NATL PARK",63.514,-147.912,4,6.7,8,,,,,,,,2,,,,,,,,,,,,2,,,,
2002,11,3,22,12,41,,,"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,5,7.9,9,,,,,1,1,56,4,,,,,,,,,1,1,56,4,,,,
2003,1,22,2,6,34.6,2402,,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,24,7.5,8,29,1,,,300,3,,3,2005,4,6615,4,29,1,,,300,3,,3,2005,4,6615,4
2003,2,22,12,19,10.5,,,CALIFORNIA:  BIG BEAR CITY,34.31,-116.848,1,5.2,6,,,,,,,,1,,,,,,,,,,,,1,,,,
2003,4,29,8,59,39,,,"ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD",34.494,-85.629,20,4.6,6,,,,,,,,1,,,,,,,,,,,,1,,,,
